Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
12/9/19,15:21:07,1,WAM,634063253,O1,1.62,min,52.129,%a.s.,Humid,29.849,deg,112357,µV,26.745,°C,1018,hPa,15,pmil,0,53.699,deg,23,°C,100,%a.s.,22.029,deg,26.769,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,33.95,0,19,289647.51,SABD0002000013,AAV2.0.0.13,3.0.1.1413,PSt7-10,160531-001,12/9/19 15:18,1123-01,0,no battery,V
12/9/19,15:21:10,1,WAM,634063253,O1,1.67,min,52.611,%a.s.,Humid,29.735,deg,111906,µV,26.751,°C,1018,hPa,15,pmil,0,53.699,deg,23,°C,100,%a.s.,22.029,deg,26.769,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,33.95,0,19,289646.44,SABD0002000013,AAV2.0.0.13,3.0.1.1413,PSt7-10,160531-001,12/9/19 15:18,1123-01,0,no battery,V
12/9/19,15:21:13,1,WAM,634063253,O1,1.72,min,52.942,%a.s.,Humid,29.655,deg,111586,µV,26.769,°C,1018,hPa,15,pmil,0,53.699,deg,23,°C,100,%a.s.,22.029,deg,26.769,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,33.95,0,19,289638.18,SABD0002000013,AAV2.0.0.13,3.0.1.1413,PSt7-10,160531-001,12/9/19 15:18,1123-01,0,no battery,V
12/9/19,15:21:16,1,WAM,634063253,O1,1.77,min,53.094,%a.s.,Humid,29.619,deg,111424,µV,26.776,°C,1018,hPa,15,pmil,0,53.699,deg,23,°C,100,%a.s.,22.029,deg,26.769,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,33.95,0,19,289646.22,SABD0002000013,AAV2.0.0.13,3.0.1.1413,PSt7-10,160531-001,12/9/19 15:18,1123-01,0,no battery,V
12/9/19,15:21:19,1,WAM,634063253,O1,1.82,min,53.297,%a.s.,Humid,29.572,deg,111235,µV,26.776,°C,1018,hPa,15,pmil,0,53.699,deg,23,°C,100,%a.s.,22.029,deg,26.769,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,33.95,0,19,289636.45,SABD0002000013,AAV2.0.0.13,3.0.1.1413,PSt7-10,160531-001,12/9/19 15:18,1123-01,0,no battery,V
12/9/19,15:21:22,1,WAM,634063253,O1,1.87,min,53.504,%a.s.,Humid,29.525,deg,111058,µV,26.769,°C,1018,hPa,15,pmil,0,53.699,deg,23,°C,100,%a.s.,22.029,deg,26.769,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,33.95,0,19,289635.38,SABD0002000013,AAV2.0.0.13,3.0.1.1413,PSt7-10,160531-001,12/9/19 15:18,1123-01,0,no battery,V
12/9/19,15:21:25,1,WAM,634063253,O1,1.92,min,53.744,%a.s.,Humid,29.47,deg,110831,µV,26.769,°C,1018,hPa,15,pmil,0,53.699,deg,23,°C,100,%a.s.,22.029,deg,26.769,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,33.95,0,19,289625.46,SABD0002000013,AAV2.0.0.13,3.0.1.1413,PSt7-10,160531-001,12/9/19 15:18,1123-01,0,no battery,V
12/9/19,15:21:28,1,WAM,634063253,O1,1.97,min,53.924,%a.s.,Humid,29.428,deg,110668,µV,26.776,°C,1018,hPa,15,pmil,0,53.699,deg,23,°C,100,%a.s.,22.029,deg,26.769,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,33.95,0,19,289631.37,SABD0002000013,AAV2.0.0.13,3.0.1.1413,PSt7-10,160531-001,12/9/19 15:18,1123-01,0,no battery,V
12/9/19,15:21:31,1,WAM,634063253,O1,2.02,min,54.064,%a.s.,Humid,29.396,deg,110532,µV,26.776,°C,1018,hPa,15,pmil,0,53.699,deg,23,°C,100,%a.s.,22.029,deg,26.769,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,33.95,0,19,289626.29,SABD0002000013,AAV2.0.0.13,3.0.1.1413,PSt7-10,160531-001,12/9/19 15:18,1123-01,0,no battery,V
12/9/19,15:21:34,1,WAM,634063253,O1,2.07,min,54.231,%a.s.,Humid,29.359,deg,110384,µV,26.769,°C,1018,hPa,15,pmil,0,53.699,deg,23,°C,100,%a.s.,22.029,deg,26.769,°C,1018,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,33.95,0,19,289622.3,SABD0002000013,AAV2.0.0.13,3.0.1.1413,PSt7-10,160531-001,12/9/19 15:18,1123-01,0,no battery,V
